contrato;odi;uf;municipio
ECO 015/2019;CM2076412LPT14000;MA;RIBAMAR FIQUENE
ECO 015/2019;CM2076412LPT14000;MA;BALSAS
ECO 015/2019;CM2076412LPT14000;MA;RIACHAO
ECO 015/2019;CM2076412LPT14000;MA;SAMBAIBA
ECO 015/2019;CM2076412LPT14000;MA;SAMBAIBA
ECO 015/2019;CM2076412LPT14001;MA;RIACHAO
ECO 015/2019;CM2076412LPT14001;MA;RIACHAO
ECO 015/2019;CM2076412LPT14001;MA;RIACHAO
ECO 015/2019;CM2076412LPT14001;MA;RIACHAO
ECO 015/2019;CM2076412LPT14001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT14001;MA;BALSAS
ECO 015/2019;CM2076412LPT14001;MA;LAJEADO NOVO
ECO 015/2019;CM2076412LPT14001;MA;LAJEADO NOVO
ECO 015/2019;CM2076412LPT14001;MA;SAMBAIBA
ECO 015/2019;CM2076412LPT14001;MA;FORTALEZA DOS NOGUEIRAS
ECO 015/2019;CM2076412LPT14002;MA;FORTALEZA DOS NOGUEIRAS
ECO 015/2019;CM2076412LPT14002;MA;PORTO FRANCO
ECO 015/2019;CM2076412LPT14002;MA;PORTO FRANCO
ECO 015/2019;CM2076412LPT14002;MA;PORTO FRANCO
ECO 015/2019;CM2076412LPT14002;MA;PORTO FRANCO
ECO 015/2019;CM2076412LPT15000;MA;JUNCO DO MARANHAO
ECO 015/2019;CM2076412LPT15000;MA;PEDRO DO ROSARIO
ECO 015/2019;CM2076412LPT15000;MA;NOVA OLINDA DO MARANHAO
ECO 015/2019;CM2076412LPT15000;MA;JUNCO DO MARANHAO
ECO 015/2019;CM2076412LPT15000;MA;JUNCO DO MARANHAO
ECO 015/2019;CM2076412LPT15000;MA;NOVA OLINDA DO MARANHAO
ECO 015/2019;CM2076412LPT15000;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15000;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15001;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15002;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT15003;MA;PEDRO DO ROSARIO
ECO 015/2019;CM2076412LPT15004;MA;PEDRO DO ROSARIO
ECO 015/2019;MA2100412LPT120007IBIPIRA;MA;MIRADOR
ECO 015/2019;MA2100412LPT120009IBIPIRA;MA;MIRADOR
ECO 015/2019;MA2100412LPT120026POV;MA;URBANO SANTOS
ECO 015/2019;MA2100412LPT130019POV;MA;FERNANDO FALCAO
ECO 015/2019;MA2100412LPT140002BOM;MA;BALSAS
ECO 015/2019;MA2100412LPT140003POV;MA;BALSAS
ECO 015/2019;MA2100412LPT140004POV;MA;TASSO FRAGOSO
ECO 015/2019;MA2100412LPT140028BOM;MA;BALSAS
ECO 015/2019;MA2100412LPT140030CUMBUCAS;MA;BALSAS
ECO 015/2019;MA2100412LPT140031CUMBUCAS;MA;BALSAS
ECO 015/2019;MA2100412LPT140033CUMBUCAS;MA;BALSAS
ECO 015/2019;MA2100412LPT140035CUMBUCAS;MA;BALSAS
ECO 015/2019;MA2100412LPT140045POV;MA;FEIRA NOVA DO MARANHAO
ECO 015/2019;MA2100412LPT140057POV;MA;SAO FELIX DE BALSAS
ECO 015/2019;MA2100412REF13000BRT;MA;ZE DOCA
ECO 015/2019;MA2100412REF13000BRT;MA;LAGO VERDE
ECO 015/2019;MA2200412LPT120003POV;MA;ANAPURUS
ECO 015/2019;MA2200412LPT130002POV;MA;FERNANDO FALCAO
ECO 015/2019;MA2200412LPT130005POV;MA;SAO DOMINGOS DO MARANHAO
ECO 015/2019;MA2200412LPT140001POV;MA;RIACHAO
ECO 015/2019;MA2200412LPT140006POV;MA;AMARANTE DO MARANHAO
ECO 015/2019;MA2200412LPT140017POV;MA;BALSAS
ECO 015/2019;MA2200412LPT140028POV;MA;LORETO
ECO 015/2019;MA2200412LPT140034POV;MA;BALSAS
ECO 015/2019;MA2200412LPT140036POV;MA;BALSAS
ECO 015/2019;MA2200412LPT140038POV;MA;BALSAS
ECO 015/2019;MA2200412LPT140051POV;MA;LORETO
ECO 015/2019;MA2200412REF13000RELIGADOR;MA;SAO JOAO DO CARU
ECO 015/2019;MA2200412REF13000RELIGADOR;MA;ZE DOCA
ECO 015/2019;MA2300412LPT140048POVOADO;MA;SAO RAIMUNDO DAS MANGABEIRAS
ECO 015/2019;MA2300412REF12000;MA;CHAPADINHA
ECO 015/2019;MA2300412REF14000;MA;GRAJAU
ECO 019/2020;200528;RR;BOA VISTA
ECO 019/2020;200529;RR;BOA VISTA
ECO 019/2020;200530;RR;BOA VISTA
ECO 019/2020;200531;RR;ALTO ALEGRE
ECO 019/2020;200532;RR;ALTO ALEGRE
ECO 019/2020;200533;RR;ALTO ALEGRE
ECO 019/2020;200534;RR;ALTO ALEGRE
ECO 019/2020;200535;RR;BONFIM
ECO 019/2020;200536;RR;BOA VISTA
ECO 019/2020;200537;RR;CANTA
ECO 019/2020;LPT210499;RR;CANTA
ECO 019/2020;LPT210500;RR;CAROEBE
ECO 019/2020;LPT210501;RR;RORAINOPOLIS
ECO 019/2020;LPT210526;RR;NORMANDIA
ECO 019/2020;LPT210527;RR;CARACARAI
ECO 019/2020;LPT210540;RR;NORMANDIA
ECO 019/2020;LPT210574;RR;PACARAIMA
ECO 019/2020;LPT210575;RR;CARACARAI
ECO 019/2020;LPT210598;RR;NORMANDIA
ECO 019/2020;LPT210599;RR;CANTA
ECO 019/2020;LPT210600;RR;CARACARAI
ECO 019/2020;LPT210631;RR;CANTA
ECO 019/2020;LPT210635;RR;CANTA
ECO 019/2020;LPT210644;RR;CARACARAI
ECO 019/2020;LPT210647;RR;CANTA
ECO 019/2020;LPT210648;RR;PACARAIMA
ECO 019/2020;LPT210649;RR;PACARAIMA
ECO 019/2020;LPT210650;RR;PACARAIMA
ECO 019/2020;LPT210663;RR;PACARAIMA
ECO 019/2020;LPT210672;RR;AMAJARI
ECO 019/2020;LPT210680;RR;CANTA
ECO 019/2020;LPT210689;RR;CARACARAI
ECO 019/2020;LPT210690;RR;CANTA
ECO 019/2020;LPT210691;RR;CANTA
ECO 019/2020;LPT210692;RR;CANTA
ECO 019/2020;LPT210693;RR;RORAINOPOLIS
ECO 019/2020;LPT210694;RR;NORMANDIA
ECO 019/2020;LPT210699;RR;PACARAIMA
ECO 019/2020;LPT210709;RR;MUCAJAI
ECO 019/2020;LPT210711;RR;PACARAIMA
ECO 019/2020;LPT210713;RR;CANTA
ECO 019/2020;LPT210714;RR;CANTA
ECO 019/2020;LPT210715;RR;CANTA
ECO 019/2020;LPT210716;RR;CANTA
ECO 019/2020;LPT210717;RR;BONFIM
ECO 019/2020;LPT210721;RR;RORAINOPOLIS
ECO 019/2020;LPT210726;RR;UIRAMUTA
ECO 019/2020;LPT210727;RR;NORMANDIA
ECO 019/2020;LPT210728;RR;BOA VISTA
ECO 019/2020;LPT210735;RR;NORMANDIA
ECO 019/2020;LPT210736;RR;PACARAIMA
ECO 019/2020;LPT210742;RR;CANTA
ECO 019/2020;LPT210743;RR;RORAINOPOLIS
ECO 019/2020;LPT210748;RR;BOA VISTA
ECO 019/2020;LPT210749;RR;UIRAMUTA
ECO 019/2020;LPT210750;RR;CANTA
ECO 019/2020;LPT210757;RR;MUCAJAI
ECO 019/2020;LPT210759;RR;NORMANDIA
ECO 019/2020;LPT210760;RR;NORMANDIA
ECO 019/2020;LPT211000;RR;BONFIM
ECO 019/2020;LPT211001;RR;BONFIM
ECO 019/2020;LPT211002;RR;BONFIM
ECO 019/2020;LPT211003;RR;NORMANDIA
ECO 019/2020;LPT211004;RR;NORMANDIA
ECO 019/2020;LPT211005;RR;NORMANDIA
ECO 019/2020;LPT211006;RR;NORMANDIA
ECO 019/2020;LPT211007;RR;CANTA
ECO 019/2020;LPT211009;RR;CANTA
ECO 019/2020;LPT211010;RR;RORAINOPOLIS
ECO 019/2020;LPT211011;RR;CARACARAI
ECO 019/2020;LPT211026;RR;CARACARAI
ECO 019/2020;LPT211027;RR;CANTA
ECO 019/2020;LPT211028;RR;BOA VISTA
ECO 019/2020;LPT220001;RR;NORMANDIA
ECO 019/2020;LPT220002;RR;CANTA
ECO 019/2020;LPT220003;RR;NORMANDIA
ECO 019/2020;LPT220004;RR;NORMANDIA
ECO 019/2020;LPT220005;RR;NORMANDIA
ECO 019/2020;LPT220006;RR;BONFIM
ECO 019/2020;LPT220007;RR;NORMANDIA
ECO 019/2020;LPT220008;RR;UIRAMUTA
ECO 019/2020;LPT220009;RR;CANTA
ECO 019/2020;LPT220010;RR;NORMANDIA
ECO 019/2020;LPT220011;RR;NORMANDIA
ECO 019/2020;LPT220012;RR;CANTA
ECO 019/2020;LPT220014;RR;BOA VISTA
ECO 019/2020;LPT220015;RR;ALTO ALEGRE
ECO 019/2020;LPT220016;RR;PACARAIMA
ECO 019/2020;LPT220017;RR;UIRAMUTA
ECO 019/2020;LPT220019;RR;CARACARAI
ECO 019/2020;LPT220020;RR;NORMANDIA
ECO 019/2020;LPT220022;RR;CANTA
ECO 019/2020;LPT220023;RR;NORMANDIA
ECO 019/2020;LPT220024;RR;CARACARAI
ECO 019/2020;LPT220025;RR;BONFIM
ECO 019/2020;LPT220026;RR;ALTO ALEGRE
ECO 019/2020;LPT220027;RR;IRACEMA
ECO 019/2020;LPT220028;RR;CARACARAI
ECO 019/2020;LPT220080;RR;PACARAIMA
ECO 019/2020;LPT220086;RR;CANTA
ECO 019/2020;LPT220088;RR;BOA VISTA
ECO 019/2020;LPT220099;RR;CARACARAI
ECO 019/2020;LPT220100;RR;NORMANDIA
ECO 019/2020;LPT220101;RR;AMAJARI
ECO 019/2020;LPT220116;RR;BOA VISTA
ECO 019/2020;LPT220118;RR;BONFIM
ECO 019/2020;LPT220126;RR;ALTO ALEGRE
ECO 019/2020;LPT220156;RR;PACARAIMA
ECO 019/2020;LPT220158;RR;AMAJARI
ECO 019/2020;LPT220159;RR;PACARAIMA
ECO 019/2020;LPT220161;RR;BOA VISTA
ECO 019/2020;LPT220162;RR;CARACARAI
ECO 019/2020;LPT220163;RR;NORMANDIA
ECO 019/2020;LPT220164;RR;NORMANDIA
ECO 019/2020;LPT220169;RR;BONFIM
ECO 019/2020;LPT220170;RR;AMAJARI
ECO 019/2020;LPT220171;RR;AMAJARI
ECO 019/2020;LPT220188;RR;ALTO ALEGRE
ECO 019/2020;LPT220194;RR;AMAJARI
ECO 019/2020;LPT220200;RR;NORMANDIA
ECO 019/2020;LPT220209;RR;BONFIM
ECO 019/2020;LPT220228;RR;CANTA
